implementation,p,time_s,speedup,efficiency,ideal_time_s,ideal_speedup,ideal_efficiency
BaggingRegressor,1,13.988377094268799,1.0,1.0,13.988377094268799,1.0,1.0
BaggingRegressor,2,7.86600923538208,1.7783321473038334,0.8891660736519167,6.994188547134399,2.0,1.0
BaggingRegressor,3,4.999906778335571,2.7977275806180963,0.9325758602060321,4.662792364756267,3.0,1.0
BaggingRegressor,4,4.816279888153076,2.9043945574419254,0.7260986393604814,3.4970942735671997,4.0,1.0
BaggingRegressor,5,4.159838914871216,3.362720860238374,0.6725441720476748,2.7976754188537596,5.0,1.0
BaggingRegressor,6,4.3806798458099365,3.193197765330534,0.532199627555089,2.3313961823781333,6.0,1.0
BaggingRegressor,7,4.193039894104004,3.336094444018622,0.47658492057408886,1.9983395848955428,7.0,1.0
BaggingRegressor,8,4.378979206085205,3.194437889732381,0.3993047362165476,1.7485471367835999,8.0,1.0
sklearn + joblib,1,10.65755009651184,1.0,1.0,10.65755009651184,1.0,1.0
sklearn + joblib,2,8.050993204116821,1.3237559424422536,0.6618779712211268,5.32877504825592,2.0,1.0
sklearn + joblib,3,5.308013200759888,2.0078228318999134,0.6692742772999711,3.5525166988372803,3.0,1.0
sklearn + joblib,4,5.069333076477051,2.102357437503069,0.5255893593757672,2.66438752412796,4.0,1.0
sklearn + joblib,5,4.602419853210449,2.315640562231104,0.4631281124462208,2.131510019302368,5.0,1.0
sklearn + joblib,6,4.590792894363403,2.3215053132972368,0.3869175522162061,1.7762583494186401,6.0,1.0
sklearn + joblib,7,4.89936375617981,2.175292676129415,0.31075609658991643,1.5225071566445487,7.0,1.0
sklearn + joblib,8,4.772753953933716,2.232998013175991,0.27912475164699885,1.33219376206398,8.0,1.0
NumPy + joblib,1,0.6142001152038574,1.0,1.0,0.6142001152038574,1.0,1.0
NumPy + joblib,2,0.7331027984619141,0.8378089900795355,0.41890449503976773,0.3071000576019287,2.0,1.0
NumPy + joblib,3,0.7157821655273438,0.8580824513158315,0.2860274837719438,0.20473337173461914,3.0,1.0
NumPy + joblib,4,0.7096889019012451,0.8654497957604033,0.21636244894010082,0.15355002880096436,4.0,1.0
NumPy + joblib,5,0.7631537914276123,0.8048182713668879,0.16096365427337758,0.12284002304077149,5.0,1.0
NumPy + joblib,6,0.8249490261077881,0.7445309901167225,0.12408849835278708,0.10236668586730957,6.0,1.0
NumPy + joblib,7,0.7925410270690918,0.774975798382628,0.11071082834037542,0.08774287360055107,7.0,1.0
NumPy + joblib,8,0.8109431266784668,0.7573898772896109,0.09467373466120137,0.07677501440048218,8.0,1.0
