p,repetition,thread_limit,workers_observed,worker_pids,worker_threadpools,main_threadpools,time_s
1,1,,1,[53918],"{""53918"": []}",[],0.5349969863891602
1,2,,1,[53918],"{""53918"": []}",[],0.5363099575042725
1,3,,1,[53918],"{""53918"": []}",[],0.536121129989624
2,1,,2,"[53921, 53922]","{""53921"": [], ""53922"": []}",[],0.5742847919464111
2,2,,2,"[53921, 53922]","{""53921"": [], ""53922"": []}",[],0.5471558570861816
2,3,,2,"[53921, 53922]","{""53921"": [], ""53922"": []}",[],0.5586581230163574
4,1,,4,"[53923, 53924, 53925, 53926]","{""53923"": [], ""53924"": [], ""53925"": [], ""53926"": []}",[],0.4806218147277832
4,2,,4,"[53923, 53924, 53925, 53926]","{""53923"": [], ""53924"": [], ""53925"": [], ""53926"": []}",[],0.47322511672973633
4,3,,4,"[53923, 53924, 53925, 53926]","{""53923"": [], ""53924"": [], ""53925"": [], ""53926"": []}",[],0.4838688373565674
8,1,,8,"[53927, 53928, 53929, 53930, 53931, 53932, 53933, 53934]","{""53927"": [], ""53928"": [], ""53929"": [], ""53930"": [], ""53931"": [], ""53932"": [], ""53933"": [], ""53934"": []}",[],0.4704420566558838
8,2,,8,"[53927, 53928, 53929, 53930, 53931, 53932, 53933, 53934]","{""53927"": [], ""53928"": [], ""53929"": [], ""53930"": [], ""53931"": [], ""53932"": [], ""53933"": [], ""53934"": []}",[],0.47843194007873535
8,3,,8,"[53927, 53928, 53929, 53930, 53931, 53932, 53933, 53934]","{""53927"": [], ""53928"": [], ""53929"": [], ""53930"": [], ""53931"": [], ""53932"": [], ""53933"": [], ""53934"": []}",[],0.4669010639190674
