implementation,p,time_s,baseline_s,overhead_s
BaggingRegressor,1,86.8433940410614,86.8433940410614,0.0
BaggingRegressor,2,56.37669086456299,86.8433940410614,25.909987688064575
BaggingRegressor,3,50.29793572425842,86.8433940410614,64.05041313171387
BaggingRegressor,4,56.2541229724884,86.8433940410614,138.1730978488922
BaggingRegressor,5,46.51833510398865,86.8433940410614,145.74828147888184
BaggingRegressor,6,62.25070405006409,86.8433940410614,286.6608302593231
BaggingRegressor,7,64.37798714637756,86.8433940410614,363.80251598358154
BaggingRegressor,8,73.59420275688171,86.8433940410614,501.9102280139923
sklearn + joblib,1,84.73654222488403,84.73654222488403,0.0
sklearn + joblib,2,60.699374198913574,84.73654222488403,36.662206172943115
sklearn + joblib,3,55.09879779815674,84.73654222488403,80.55985116958618
sklearn + joblib,4,55.99878811836243,84.73654222488403,139.25861024856567
sklearn + joblib,5,59.24500107765198,84.73654222488403,211.48846316337585
sklearn + joblib,6,72.3032341003418,84.73654222488403,349.08286237716675
sklearn + joblib,7,114.51744103431702,84.73654222488403,716.8855450153351
sklearn + joblib,8,127.57399821281433,84.73654222488403,935.8554434776306
NumPy + joblib,1,6.0165650844573975,6.0165650844573975,0.0
NumPy + joblib,2,5.028980016708374,6.0165650844573975,4.041394948959351
NumPy + joblib,3,4.2318267822265625,6.0165650844573975,6.67891526222229
NumPy + joblib,4,5.496730804443359,6.0165650844573975,15.97035813331604
NumPy + joblib,5,4.356996059417725,6.0165650844573975,15.768415212631226
NumPy + joblib,6,5.478545904159546,6.0165650844573975,26.854710340499878
NumPy + joblib,7,5.038900136947632,6.0165650844573975,29.255735874176025
NumPy + joblib,8,4.287909030914307,6.0165650844573975,28.286707162857056
