implementation,p,repetition,time_s
BaggingRegressor,1,1,8.388231992721558
BaggingRegressor,1,2,9.468120813369751
BaggingRegressor,1,3,8.74083924293518
BaggingRegressor,2,1,5.7111358642578125
BaggingRegressor,2,2,5.7881669998168945
BaggingRegressor,2,3,5.4298996925354
BaggingRegressor,3,1,3.8378148078918457
BaggingRegressor,3,2,3.8858039379119873
BaggingRegressor,3,3,3.7749009132385254
BaggingRegressor,4,1,3.7463810443878174
BaggingRegressor,4,2,3.6728477478027344
BaggingRegressor,4,3,3.5778870582580566
BaggingRegressor,5,1,2.825438976287842
BaggingRegressor,5,2,3.017551898956299
BaggingRegressor,5,3,2.5114190578460693
BaggingRegressor,6,1,3.158203125
BaggingRegressor,6,2,2.7793052196502686
BaggingRegressor,6,3,3.001939058303833
BaggingRegressor,7,1,2.4220049381256104
BaggingRegressor,7,2,2.36378812789917
BaggingRegressor,7,3,3.0231738090515137
BaggingRegressor,8,1,2.766608953475952
BaggingRegressor,8,2,2.937053918838501
BaggingRegressor,8,3,3.159907102584839
NumPy + joblib,1,1,0.5095648765563965
NumPy + joblib,1,2,0.5204610824584961
NumPy + joblib,1,3,0.542952299118042
NumPy + joblib,2,1,0.6573848724365234
NumPy + joblib,2,2,0.7897820472717285
NumPy + joblib,2,3,0.7135319709777832
NumPy + joblib,3,1,0.6426377296447754
NumPy + joblib,3,2,1.1256370544433594
NumPy + joblib,3,3,0.7000010013580322
NumPy + joblib,4,1,0.7319927215576172
NumPy + joblib,4,2,0.8321199417114258
NumPy + joblib,4,3,0.5227298736572266
NumPy + joblib,5,1,0.42149806022644043
NumPy + joblib,5,2,0.6240429878234863
NumPy + joblib,5,3,0.699531078338623
NumPy + joblib,6,1,0.4398229122161865
NumPy + joblib,6,2,0.6288909912109375
NumPy + joblib,6,3,0.5108969211578369
NumPy + joblib,7,1,0.5302028656005859
NumPy + joblib,7,2,0.4399251937866211
NumPy + joblib,7,3,0.5229318141937256
NumPy + joblib,8,1,0.619577169418335
NumPy + joblib,8,2,0.6892030239105225
NumPy + joblib,8,3,0.6655120849609375
sklearn + joblib,1,1,12.107505798339844
sklearn + joblib,1,2,9.119077920913696
sklearn + joblib,1,3,8.753925085067749
sklearn + joblib,2,1,5.604011058807373
sklearn + joblib,2,2,5.301001071929932
sklearn + joblib,2,3,5.4310078620910645
sklearn + joblib,3,1,3.6699140071868896
sklearn + joblib,3,2,3.5839040279388428
sklearn + joblib,3,3,3.308941125869751
sklearn + joblib,4,1,3.926791191101074
sklearn + joblib,4,2,4.257155179977417
sklearn + joblib,4,3,3.242842197418213
sklearn + joblib,5,1,3.1809611320495605
sklearn + joblib,5,2,2.977576971054077
sklearn + joblib,5,3,2.512099027633667
sklearn + joblib,6,1,3.040644884109497
sklearn + joblib,6,2,2.491305112838745
sklearn + joblib,6,3,2.7571370601654053
sklearn + joblib,7,1,2.4429099559783936
sklearn + joblib,7,2,3.3601789474487305
sklearn + joblib,7,3,2.8801212310791016
sklearn + joblib,8,1,2.5228991508483887
sklearn + joblib,8,2,3.5157902240753174
sklearn + joblib,8,3,3.4434077739715576
