p,t,p_times_t,repetition,time_s,visible_threadpools
1,1,1,1,2.532602875,[]
1,1,1,2,2.534781708,[]
1,1,1,3,2.533290125,[]
1,1,1,4,2.515606042,[]
1,1,1,5,2.5219607080000004,[]
1,2,2,1,2.5341635829999998,[]
1,2,2,2,2.517067292,[]
1,2,2,3,2.5409036250000003,[]
1,2,2,4,2.514568666,[]
1,2,2,5,2.52047275,[]
1,3,3,1,2.574269792,[]
1,3,3,2,2.5403937080000003,[]
1,3,3,3,2.5315967919999998,[]
1,3,3,4,2.5280890830000002,[]
1,3,3,5,2.530613083,[]
1,4,4,1,2.5685295,[]
1,4,4,2,2.560535291,[]
1,4,4,3,2.519266542,[]
1,4,4,4,2.520347208,[]
1,4,4,5,2.534217917,[]
1,5,5,1,2.519932042,[]
1,5,5,2,2.524073,[]
1,5,5,3,2.507660917,[]
1,5,5,4,2.5257425419999997,[]
1,5,5,5,2.52012925,[]
1,6,6,1,2.518642083,[]
1,6,6,2,2.5204147499999996,[]
1,6,6,3,2.520874708,[]
1,6,6,4,2.571357666,[]
1,6,6,5,2.5250099159999997,[]
1,7,7,1,2.535354916,[]
1,7,7,2,2.5132368329999997,[]
1,7,7,3,2.5222602499999995,[]
1,7,7,4,2.518768667,[]
1,7,7,5,2.5178749170000003,[]
1,8,8,1,2.516254375,[]
1,8,8,2,2.52764025,[]
1,8,8,3,2.5221599169999998,[]
1,8,8,4,2.546800958,[]
1,8,8,5,2.5193356249999996,[]
1,9,9,1,2.5376992090000003,[]
1,9,9,2,2.5317674159999997,[]
1,9,9,3,2.534225125,[]
1,9,9,4,2.529309875,[]
1,9,9,5,2.529413667,[]
1,10,10,1,2.516417917,[]
1,10,10,2,2.51784575,[]
1,10,10,3,2.517312542,[]
1,10,10,4,2.534168708,[]
1,10,10,5,2.524027,[]
2,1,2,1,2.268637583,[]
2,1,2,2,1.982014542,[]
2,1,2,3,1.9490640410000002,[]
2,1,2,4,1.9736307499999999,[]
2,1,2,5,1.9916217500000002,[]
2,2,4,1,2.072894375,[]
2,2,4,2,1.9632875840000001,[]
2,2,4,3,1.9841063330000002,[]
2,2,4,4,1.988121375,[]
2,2,4,5,1.994167667,[]
2,3,6,1,1.9874580000000002,[]
2,3,6,2,1.988716667,[]
2,3,6,3,2.216933584,[]
2,3,6,4,2.004863584,[]
2,3,6,5,2.043166958,[]
2,4,8,1,1.911189125,[]
2,4,8,2,1.9884283329999999,[]
2,4,8,3,1.9663357920000002,[]
2,4,8,4,2.0880096249999998,[]
2,4,8,5,1.9956590410000001,[]
2,5,10,1,2.1900361250000002,[]
2,5,10,2,2.376395291,[]
2,5,10,3,2.028047167,[]
2,5,10,4,1.9770025420000001,[]
2,5,10,5,1.963299875,[]
3,1,3,1,1.784033458,[]
3,1,3,2,1.808886334,[]
3,1,3,3,1.866946333,[]
3,1,3,4,1.8072821250000002,[]
3,1,3,5,1.8147422089999998,[]
3,2,6,1,1.8131305420000001,[]
3,2,6,2,1.8494117499999998,[]
3,2,6,3,2.006729958,[]
3,2,6,4,1.820309708,[]
3,2,6,5,1.9223138750000002,[]
3,3,9,1,1.8685044580000003,[]
3,3,9,2,2.034700167,[]
3,3,9,3,1.783030667,[]
3,3,9,4,1.8564934170000003,[]
3,3,9,5,1.8420008330000002,[]
4,1,4,1,2.0997069999999995,[]
4,1,4,2,1.922736792,[]
4,1,4,3,1.905053667,[]
4,1,4,4,1.8648297909999998,[]
4,1,4,5,1.8847787089999999,[]
4,2,8,1,1.786309792,[]
4,2,8,2,1.788501667,[]
4,2,8,3,1.772529625,[]
4,2,8,4,1.837395667,[]
4,2,8,5,1.8285947909999998,[]
5,1,5,1,1.748431791,[]
5,1,5,2,1.6837400420000002,[]
5,1,5,3,1.899112083,[]
5,1,5,4,1.677380541,[]
5,1,5,5,1.6114608750000001,[]
5,2,10,1,1.715767917,[]
5,2,10,2,1.66216075,[]
5,2,10,3,1.6645685,[]
5,2,10,4,1.7278982920000001,[]
5,2,10,5,1.6824672080000003,[]
6,1,6,1,1.55865025,[]
6,1,6,2,1.7278191659999997,[]
6,1,6,3,1.727416792,[]
6,1,6,4,1.717774625,[]
6,1,6,5,1.823556875,[]
7,1,7,1,1.622065334,[]
7,1,7,2,1.64350625,[]
7,1,7,3,1.7055828750000002,[]
7,1,7,4,1.68394925,[]
7,1,7,5,1.7637065,[]
8,1,8,1,1.650512,[]
8,1,8,2,1.655830584,[]
8,1,8,3,1.668504041,[]
8,1,8,4,1.8180664169999998,[]
8,1,8,5,1.803131875,[]
9,1,9,1,1.683401125,[]
9,1,9,2,1.6481561669999998,[]
9,1,9,3,1.8880517079999999,[]
9,1,9,4,1.741489666,[]
9,1,9,5,1.8546379159999997,[]
10,1,10,1,1.599174333,[]
10,1,10,2,1.60882425,[]
10,1,10,3,1.694437958,[]
10,1,10,4,1.6699119169999999,[]
10,1,10,5,1.637441875,[]
