p,t,p_times_t,repetition,time_s,visible_threadpools
1,1,1,1,11.47683375,"[{""user_api"": ""blas"", ""internal_api"": ""openblas"", ""num_threads"": 10, ""prefix"": ""libopenblas"", ""filepath"": ""/Users/joseignaciosalas/personal/Tarea-1-IIC3533/.conda-openblas/lib/libopenblas.0.dylib"", ""version"": ""0.3.34"", ""threading_layer"": ""openmp"", ""architecture"": ""VORTEX""}, {""user_api"": ""openmp"", ""internal_api"": ""openmp"", ""num_threads"": 10, ""prefix"": ""libomp"", ""filepath"": ""/Users/joseignaciosalas/personal/Tarea-1-IIC3533/.conda-openblas/lib/libomp.dylib"", ""version"": null}]"
1,1,1,2,11.483856832999999,"[{""user_api"": ""blas"", ""internal_api"": ""openblas"", ""num_threads"": 10, ""prefix"": ""libopenblas"", ""filepath"": ""/Users/joseignaciosalas/personal/Tarea-1-IIC3533/.conda-openblas/lib/libopenblas.0.dylib"", ""version"": ""0.3.34"", ""threading_layer"": ""openmp"", ""architecture"": ""VORTEX""}, {""user_api"": ""openmp"", ""internal_api"": ""openmp"", ""num_threads"": 10, ""prefix"": ""libomp"", ""filepath"": ""/Users/joseignaciosalas/personal/Tarea-1-IIC3533/.conda-openblas/lib/libomp.dylib"", ""version"": null}]"
1,1,1,3,11.445850875,"[{""user_api"": ""blas"", ""internal_api"": ""openblas"", ""num_threads"": 10, ""prefix"": ""libopenblas"", ""filepath"": ""/Users/joseignaciosalas/personal/Tarea-1-IIC3533/.conda-openblas/lib/libopenblas.0.dylib"", ""version"": ""0.3.34"", ""threading_layer"": ""openmp"", ""architecture"": ""VORTEX""}, {""user_api"": ""openmp"", ""internal_api"": ""openmp"", ""num_threads"": 10, ""prefix"": ""libomp"", ""filepath"": ""/Users/joseignaciosalas/personal/Tarea-1-IIC3533/.conda-openblas/lib/libomp.dylib"", ""version"": null}]"
1,1,1,4,11.469669959,"[{""user_api"": ""blas"", ""internal_api"": ""openblas"", ""num_threads"": 10, ""prefix"": ""libopenblas"", ""filepath"": ""/Users/joseignaciosalas/personal/Tarea-1-IIC3533/.conda-openblas/lib/libopenblas.0.dylib"", ""version"": ""0.3.34"", ""threading_layer"": ""openmp"", ""architecture"": ""VORTEX""}, {""user_api"": ""openmp"", ""internal_api"": ""openmp"", ""num_threads"": 10, ""prefix"": ""libomp"", ""filepath"": ""/Users/joseignaciosalas/personal/Tarea-1-IIC3533/.conda-openblas/lib/libomp.dylib"", ""version"": null}]"
1,1,1,5,11.444224,"[{""user_api"": ""blas"", ""internal_api"": ""openblas"", ""num_threads"": 10, ""prefix"": ""libopenblas"", ""filepath"": ""/Users/joseignaciosalas/personal/Tarea-1-IIC3533/.conda-openblas/lib/libopenblas.0.dylib"", ""version"": ""0.3.34"", ""threading_layer"": ""openmp"", ""architecture"": ""VORTEX""}, {""user_api"": ""openmp"", ""internal_api"": ""openmp"", ""num_threads"": 10, ""prefix"": ""libomp"", ""filepath"": ""/Users/joseignaciosalas/personal/Tarea-1-IIC3533/.conda-openblas/lib/libomp.dylib"", ""version"": null}]"
1,2,2,1,7.00882775,"[{""user_api"": ""blas"", ""internal_api"": ""openblas"", ""num_threads"": 10, ""prefix"": ""libopenblas"", ""filepath"": ""/Users/joseignaciosalas/personal/Tarea-1-IIC3533/.conda-openblas/lib/libopenblas.0.dylib"", ""version"": ""0.3.34"", ""threading_layer"": ""openmp"", ""architecture"": ""VORTEX""}, {""user_api"": ""openmp"", ""internal_api"": ""openmp"", ""num_threads"": 10, ""prefix"": ""libomp"", ""filepath"": ""/Users/joseignaciosalas/personal/Tarea-1-IIC3533/.conda-openblas/lib/libomp.dylib"", ""version"": null}]"
1,2,2,2,7.172705209,"[{""user_api"": ""blas"", ""internal_api"": ""openblas"", ""num_threads"": 10, ""prefix"": ""libopenblas"", ""filepath"": ""/Users/joseignaciosalas/personal/Tarea-1-IIC3533/.conda-openblas/lib/libopenblas.0.dylib"", ""version"": ""0.3.34"", ""threading_layer"": ""openmp"", ""architecture"": ""VORTEX""}, {""user_api"": ""openmp"", ""internal_api"": ""openmp"", ""num_threads"": 10, ""prefix"": ""libomp"", ""filepath"": ""/Users/joseignaciosalas/personal/Tarea-1-IIC3533/.conda-openblas/lib/libomp.dylib"", ""version"": null}]"
1,2,2,3,6.954706166,"[{""user_api"": ""blas"", ""internal_api"": ""openblas"", ""num_threads"": 10, ""prefix"": ""libopenblas"", ""filepath"": ""/Users/joseignaciosalas/personal/Tarea-1-IIC3533/.conda-openblas/lib/libopenblas.0.dylib"", ""version"": ""0.3.34"", ""threading_layer"": ""openmp"", ""architecture"": ""VORTEX""}, {""user_api"": ""openmp"", ""internal_api"": ""openmp"", ""num_threads"": 10, ""prefix"": ""libomp"", ""filepath"": ""/Users/joseignaciosalas/personal/Tarea-1-IIC3533/.conda-openblas/lib/libomp.dylib"", ""version"": null}]"
1,2,2,4,7.222295458,"[{""user_api"": ""blas"", ""internal_api"": ""openblas"", ""num_threads"": 10, ""prefix"": ""libopenblas"", ""filepath"": ""/Users/joseignaciosalas/personal/Tarea-1-IIC3533/.conda-openblas/lib/libopenblas.0.dylib"", ""version"": ""0.3.34"", ""threading_layer"": ""openmp"", ""architecture"": ""VORTEX""}, {""user_api"": ""openmp"", ""internal_api"": ""openmp"", ""num_threads"": 10, ""prefix"": ""libomp"", ""filepath"": ""/Users/joseignaciosalas/personal/Tarea-1-IIC3533/.conda-openblas/lib/libomp.dylib"", ""version"": null}]"
1,2,2,5,6.944433791,"[{""user_api"": ""blas"", ""internal_api"": ""openblas"", ""num_threads"": 10, ""prefix"": ""libopenblas"", ""filepath"": ""/Users/joseignaciosalas/personal/Tarea-1-IIC3533/.conda-openblas/lib/libopenblas.0.dylib"", ""version"": ""0.3.34"", ""threading_layer"": ""openmp"", ""architecture"": ""VORTEX""}, {""user_api"": ""openmp"", ""internal_api"": ""openmp"", ""num_threads"": 10, ""prefix"": ""libomp"", ""filepath"": ""/Users/joseignaciosalas/personal/Tarea-1-IIC3533/.conda-openblas/lib/libomp.dylib"", ""version"": null}]"
