p,t,p_times_t,repetition,time_s,visible_threadpools
2,10,20,1,27.883650499999998,"[{""user_api"": ""blas"", ""internal_api"": ""openblas"", ""num_threads"": 10, ""prefix"": ""libopenblas"", ""filepath"": ""/Users/joseignaciosalas/personal/Tarea-1-IIC3533/.conda-openblas/lib/libopenblas.0.dylib"", ""version"": ""0.3.34"", ""threading_layer"": ""openmp"", ""architecture"": ""VORTEX""}, {""user_api"": ""openmp"", ""internal_api"": ""openmp"", ""num_threads"": 10, ""prefix"": ""libomp"", ""filepath"": ""/Users/joseignaciosalas/personal/Tarea-1-IIC3533/.conda-openblas/lib/libomp.dylib"", ""version"": null}]"
2,10,20,2,38.200059833000005,"[{""user_api"": ""blas"", ""internal_api"": ""openblas"", ""num_threads"": 10, ""prefix"": ""libopenblas"", ""filepath"": ""/Users/joseignaciosalas/personal/Tarea-1-IIC3533/.conda-openblas/lib/libopenblas.0.dylib"", ""version"": ""0.3.34"", ""threading_layer"": ""openmp"", ""architecture"": ""VORTEX""}, {""user_api"": ""openmp"", ""internal_api"": ""openmp"", ""num_threads"": 10, ""prefix"": ""libomp"", ""filepath"": ""/Users/joseignaciosalas/personal/Tarea-1-IIC3533/.conda-openblas/lib/libomp.dylib"", ""version"": null}]"
2,10,20,3,37.493247749999995,"[{""user_api"": ""blas"", ""internal_api"": ""openblas"", ""num_threads"": 10, ""prefix"": ""libopenblas"", ""filepath"": ""/Users/joseignaciosalas/personal/Tarea-1-IIC3533/.conda-openblas/lib/libopenblas.0.dylib"", ""version"": ""0.3.34"", ""threading_layer"": ""openmp"", ""architecture"": ""VORTEX""}, {""user_api"": ""openmp"", ""internal_api"": ""openmp"", ""num_threads"": 10, ""prefix"": ""libomp"", ""filepath"": ""/Users/joseignaciosalas/personal/Tarea-1-IIC3533/.conda-openblas/lib/libomp.dylib"", ""version"": null}]"
4,5,20,1,19.741468082999997,"[{""user_api"": ""blas"", ""internal_api"": ""openblas"", ""num_threads"": 10, ""prefix"": ""libopenblas"", ""filepath"": ""/Users/joseignaciosalas/personal/Tarea-1-IIC3533/.conda-openblas/lib/libopenblas.0.dylib"", ""version"": ""0.3.34"", ""threading_layer"": ""openmp"", ""architecture"": ""VORTEX""}, {""user_api"": ""openmp"", ""internal_api"": ""openmp"", ""num_threads"": 10, ""prefix"": ""libomp"", ""filepath"": ""/Users/joseignaciosalas/personal/Tarea-1-IIC3533/.conda-openblas/lib/libomp.dylib"", ""version"": null}]"
4,5,20,2,18.017922000000002,"[{""user_api"": ""blas"", ""internal_api"": ""openblas"", ""num_threads"": 10, ""prefix"": ""libopenblas"", ""filepath"": ""/Users/joseignaciosalas/personal/Tarea-1-IIC3533/.conda-openblas/lib/libopenblas.0.dylib"", ""version"": ""0.3.34"", ""threading_layer"": ""openmp"", ""architecture"": ""VORTEX""}, {""user_api"": ""openmp"", ""internal_api"": ""openmp"", ""num_threads"": 10, ""prefix"": ""libomp"", ""filepath"": ""/Users/joseignaciosalas/personal/Tarea-1-IIC3533/.conda-openblas/lib/libomp.dylib"", ""version"": null}]"
4,5,20,3,17.410692875,"[{""user_api"": ""blas"", ""internal_api"": ""openblas"", ""num_threads"": 10, ""prefix"": ""libopenblas"", ""filepath"": ""/Users/joseignaciosalas/personal/Tarea-1-IIC3533/.conda-openblas/lib/libopenblas.0.dylib"", ""version"": ""0.3.34"", ""threading_layer"": ""openmp"", ""architecture"": ""VORTEX""}, {""user_api"": ""openmp"", ""internal_api"": ""openmp"", ""num_threads"": 10, ""prefix"": ""libomp"", ""filepath"": ""/Users/joseignaciosalas/personal/Tarea-1-IIC3533/.conda-openblas/lib/libomp.dylib"", ""version"": null}]"
5,10,50,1,126.196650042,"[{""user_api"": ""blas"", ""internal_api"": ""openblas"", ""num_threads"": 10, ""prefix"": ""libopenblas"", ""filepath"": ""/Users/joseignaciosalas/personal/Tarea-1-IIC3533/.conda-openblas/lib/libopenblas.0.dylib"", ""version"": ""0.3.34"", ""threading_layer"": ""openmp"", ""architecture"": ""VORTEX""}, {""user_api"": ""openmp"", ""internal_api"": ""openmp"", ""num_threads"": 10, ""prefix"": ""libomp"", ""filepath"": ""/Users/joseignaciosalas/personal/Tarea-1-IIC3533/.conda-openblas/lib/libomp.dylib"", ""version"": null}]"
5,10,50,2,125.617696209,"[{""user_api"": ""blas"", ""internal_api"": ""openblas"", ""num_threads"": 10, ""prefix"": ""libopenblas"", ""filepath"": ""/Users/joseignaciosalas/personal/Tarea-1-IIC3533/.conda-openblas/lib/libopenblas.0.dylib"", ""version"": ""0.3.34"", ""threading_layer"": ""openmp"", ""architecture"": ""VORTEX""}, {""user_api"": ""openmp"", ""internal_api"": ""openmp"", ""num_threads"": 10, ""prefix"": ""libomp"", ""filepath"": ""/Users/joseignaciosalas/personal/Tarea-1-IIC3533/.conda-openblas/lib/libomp.dylib"", ""version"": null}]"
5,10,50,3,122.383438292,"[{""user_api"": ""blas"", ""internal_api"": ""openblas"", ""num_threads"": 10, ""prefix"": ""libopenblas"", ""filepath"": ""/Users/joseignaciosalas/personal/Tarea-1-IIC3533/.conda-openblas/lib/libopenblas.0.dylib"", ""version"": ""0.3.34"", ""threading_layer"": ""openmp"", ""architecture"": ""VORTEX""}, {""user_api"": ""openmp"", ""internal_api"": ""openmp"", ""num_threads"": 10, ""prefix"": ""libomp"", ""filepath"": ""/Users/joseignaciosalas/personal/Tarea-1-IIC3533/.conda-openblas/lib/libomp.dylib"", ""version"": null}]"
10,5,50,1,57.246814541,"[{""user_api"": ""blas"", ""internal_api"": ""openblas"", ""num_threads"": 10, ""prefix"": ""libopenblas"", ""filepath"": ""/Users/joseignaciosalas/personal/Tarea-1-IIC3533/.conda-openblas/lib/libopenblas.0.dylib"", ""version"": ""0.3.34"", ""threading_layer"": ""openmp"", ""architecture"": ""VORTEX""}, {""user_api"": ""openmp"", ""internal_api"": ""openmp"", ""num_threads"": 10, ""prefix"": ""libomp"", ""filepath"": ""/Users/joseignaciosalas/personal/Tarea-1-IIC3533/.conda-openblas/lib/libomp.dylib"", ""version"": null}]"
10,5,50,2,60.132458125,"[{""user_api"": ""blas"", ""internal_api"": ""openblas"", ""num_threads"": 10, ""prefix"": ""libopenblas"", ""filepath"": ""/Users/joseignaciosalas/personal/Tarea-1-IIC3533/.conda-openblas/lib/libopenblas.0.dylib"", ""version"": ""0.3.34"", ""threading_layer"": ""openmp"", ""architecture"": ""VORTEX""}, {""user_api"": ""openmp"", ""internal_api"": ""openmp"", ""num_threads"": 10, ""prefix"": ""libomp"", ""filepath"": ""/Users/joseignaciosalas/personal/Tarea-1-IIC3533/.conda-openblas/lib/libomp.dylib"", ""version"": null}]"
10,5,50,3,56.423065707999996,"[{""user_api"": ""blas"", ""internal_api"": ""openblas"", ""num_threads"": 10, ""prefix"": ""libopenblas"", ""filepath"": ""/Users/joseignaciosalas/personal/Tarea-1-IIC3533/.conda-openblas/lib/libopenblas.0.dylib"", ""version"": ""0.3.34"", ""threading_layer"": ""openmp"", ""architecture"": ""VORTEX""}, {""user_api"": ""openmp"", ""internal_api"": ""openmp"", ""num_threads"": 10, ""prefix"": ""libomp"", ""filepath"": ""/Users/joseignaciosalas/personal/Tarea-1-IIC3533/.conda-openblas/lib/libomp.dylib"", ""version"": null}]"
10,10,100,1,131.884044792,"[{""user_api"": ""blas"", ""internal_api"": ""openblas"", ""num_threads"": 10, ""prefix"": ""libopenblas"", ""filepath"": ""/Users/joseignaciosalas/personal/Tarea-1-IIC3533/.conda-openblas/lib/libopenblas.0.dylib"", ""version"": ""0.3.34"", ""threading_layer"": ""openmp"", ""architecture"": ""VORTEX""}, {""user_api"": ""openmp"", ""internal_api"": ""openmp"", ""num_threads"": 10, ""prefix"": ""libomp"", ""filepath"": ""/Users/joseignaciosalas/personal/Tarea-1-IIC3533/.conda-openblas/lib/libomp.dylib"", ""version"": null}]"
10,10,100,2,133.81082491700002,"[{""user_api"": ""blas"", ""internal_api"": ""openblas"", ""num_threads"": 10, ""prefix"": ""libopenblas"", ""filepath"": ""/Users/joseignaciosalas/personal/Tarea-1-IIC3533/.conda-openblas/lib/libopenblas.0.dylib"", ""version"": ""0.3.34"", ""threading_layer"": ""openmp"", ""architecture"": ""VORTEX""}, {""user_api"": ""openmp"", ""internal_api"": ""openmp"", ""num_threads"": 10, ""prefix"": ""libomp"", ""filepath"": ""/Users/joseignaciosalas/personal/Tarea-1-IIC3533/.conda-openblas/lib/libomp.dylib"", ""version"": null}]"
