p,t,repetition,time_s
1,1,1,1.4361555576324463
1,1,2,1.4796814918518066
1,1,3,1.4883053302764893
1,2,1,1.060314416885376
1,2,2,1.0524301528930664
1,2,3,1.033186912536621
1,3,1,0.9301819801330566
1,3,2,0.9728565216064453
1,3,3,1.0157036781311035
1,4,1,0.8813037872314453
1,4,2,0.861191987991333
1,4,3,0.8911466598510742
1,5,1,0.8132758140563965
1,5,2,0.9151530265808105
1,5,3,0.7900786399841309
1,6,1,1.8030633926391602
1,6,2,0.7018716335296631
1,6,3,0.8432192802429199
1,7,1,0.8147034645080566
1,7,2,0.8314554691314697
1,7,3,1.142563819885254
1,8,1,1.320810317993164
1,8,2,1.0368421077728271
1,8,3,1.0334479808807373
2,1,1,1.338627815246582
2,1,2,1.2709851264953613
2,1,3,1.0172719955444336
2,2,1,0.824143648147583
2,2,2,1.0355470180511475
2,2,3,0.8133776187896729
2,3,1,1.0024027824401855
2,3,2,1.0651664733886719
2,3,3,1.366281270980835
2,4,1,0.9380409717559814
2,4,2,0.7589073181152344
2,4,3,1.0071473121643066
3,1,1,1.0216796398162842
3,1,2,0.9596700668334961
3,1,3,0.7951638698577881
3,2,1,0.8756194114685059
3,2,2,0.738431453704834
3,2,3,0.9639134407043457
4,1,1,0.991086483001709
4,1,2,0.7330434322357178
4,1,3,0.95308518409729
4,2,1,0.9529619216918945
4,2,2,0.6548328399658203
4,2,3,0.9390709400177002
5,1,1,0.9211671352386475
5,1,2,0.6563689708709717
5,1,3,0.729802131652832
6,1,1,0.9096579551696777
6,1,2,0.7896320819854736
6,1,3,0.7159838676452637
7,1,1,0.7641022205352783
7,1,2,0.9640748500823975
7,1,3,0.7367298603057861
8,1,1,0.7625746726989746
8,1,2,1.0153141021728516
8,1,3,1.0179417133331299
