implementation,p,time_s,speedup,efficiency,ideal_time_s,ideal_speedup,ideal_efficiency
BaggingRegressor,1,8.619113445281982,1.0,1.0,8.619113445281982,1.0,1.0
BaggingRegressor,2,6.122988939285278,1.4076643826647302,0.7038321913323651,4.309556722640991,2.0,1.0
BaggingRegressor,3,4.723936557769775,1.8245616425786981,0.6081872141928993,2.873037815093994,3.0,1.0
BaggingRegressor,4,4.645563840866089,1.8553428045615,0.463835701140375,2.1547783613204956,4.0,1.0
BaggingRegressor,5,4.96337628364563,1.7365424164357717,0.34730848328715436,1.7238226890563966,5.0,1.0
BaggingRegressor,6,6.422610521316528,1.34199534856976,0.22366589142829332,1.436518907546997,6.0,1.0
BaggingRegressor,7,4.788881540298462,1.799817634400037,0.257116804914291,1.231301920754569,7.0,1.0
BaggingRegressor,8,5.101330041885376,1.689581613915042,0.21119770173938024,1.0773891806602478,8.0,1.0
sklearn + joblib,1,8.52399206161499,1.0,1.0,8.52399206161499,1.0,1.0
sklearn + joblib,2,6.199195623397827,1.3750158213176251,0.6875079106588126,4.261996030807495,2.0,1.0
sklearn + joblib,3,5.286412715911865,1.612434087099964,0.5374780290333213,2.8413306872049966,3.0,1.0
sklearn + joblib,4,5.510639190673828,1.5468245636624045,0.3867061409156011,2.1309980154037476,4.0,1.0
sklearn + joblib,5,4.752610921859741,1.7935387940991965,0.3587077588198393,1.704798412322998,5.0,1.0
sklearn + joblib,6,5.250445127487183,1.623479886874753,0.2705799811457922,1.4206653436024983,6.0,1.0
sklearn + joblib,7,6.294942855834961,1.354101579129326,0.19344308273276087,1.2177131516592843,7.0,1.0
sklearn + joblib,8,6.216322898864746,1.3712273638764294,0.17140342048455368,1.0654990077018738,8.0,1.0
NumPy + joblib,1,1.3384716510772705,1.0,1.0,1.3384716510772705,1.0,1.0
NumPy + joblib,2,1.3768823146820068,0.9721031614720047,0.48605158073600235,0.6692358255386353,2.0,1.0
NumPy + joblib,3,1.0614941120147705,1.2609317714789603,0.42031059049298675,0.44615721702575684,3.0,1.0
NumPy + joblib,4,1.1551337242126465,1.1587157599347118,0.28967893998367794,0.3346179127693176,4.0,1.0
NumPy + joblib,5,1.073653221130371,1.2466517351553152,0.24933034703106305,0.2676943302154541,5.0,1.0
NumPy + joblib,6,0.9227221012115479,1.4505685398884858,0.24176142331474762,0.22307860851287842,6.0,1.0
NumPy + joblib,7,0.8117454051971436,1.64888109314546,0.23555444187792288,0.1912102358681815,7.0,1.0
NumPy + joblib,8,1.1258060932159424,1.1889006989239455,0.14861258736549318,0.1673089563846588,8.0,1.0
