implementation,p,time_s,t1_s,overhead_s
BaggingRegressor,1,8.619113445281982,8.619113445281982,0.0
BaggingRegressor,2,6.122988939285278,8.619113445281982,3.626864433288574
BaggingRegressor,3,4.723936557769775,8.619113445281982,5.552696228027344
BaggingRegressor,4,4.645563840866089,8.619113445281982,9.963141918182373
BaggingRegressor,5,4.96337628364563,8.619113445281982,16.197767972946167
BaggingRegressor,6,6.422610521316528,8.619113445281982,29.916549682617188
BaggingRegressor,7,4.788881540298462,8.619113445281982,24.90305733680725
BaggingRegressor,8,5.101330041885376,8.619113445281982,32.191526889801025
NumPy + joblib,1,1.3384716510772705,1.3384716510772705,0.0
NumPy + joblib,2,1.3768823146820068,1.3384716510772705,1.4152929782867432
NumPy + joblib,3,1.0614941120147705,1.3384716510772705,1.846010684967041
NumPy + joblib,4,1.1551337242126465,1.3384716510772705,3.2820632457733154
NumPy + joblib,5,1.073653221130371,1.3384716510772705,4.029794454574585
NumPy + joblib,6,0.9227221012115479,1.3384716510772705,4.197860956192017
NumPy + joblib,7,0.8117454051971436,1.3384716510772705,4.343746185302734
NumPy + joblib,8,1.1258060932159424,1.3384716510772705,7.6679770946502686
sklearn + joblib,1,8.52399206161499,8.52399206161499,0.0
sklearn + joblib,2,6.199195623397827,8.52399206161499,3.874399185180664
sklearn + joblib,3,5.286412715911865,8.52399206161499,7.3352460861206055
sklearn + joblib,4,5.510639190673828,8.52399206161499,13.518564701080322
sklearn + joblib,5,4.752610921859741,8.52399206161499,15.239062547683716
sklearn + joblib,6,5.250445127487183,8.52399206161499,22.978678703308105
sklearn + joblib,7,6.294942855834961,8.52399206161499,35.540607929229736
sklearn + joblib,8,6.216322898864746,8.52399206161499,41.20659112930298
