implementation,p,repetition,time_s
BaggingRegressor,1,1,9.068388223648071
BaggingRegressor,1,2,7.5672430992126465
BaggingRegressor,1,3,8.619113445281982
BaggingRegressor,2,1,7.906455993652344
BaggingRegressor,2,2,6.122988939285278
BaggingRegressor,2,3,5.039239406585693
BaggingRegressor,3,1,5.334320783615112
BaggingRegressor,3,2,4.723936557769775
BaggingRegressor,3,3,4.629412889480591
BaggingRegressor,4,1,5.135812997817993
BaggingRegressor,4,2,4.645563840866089
BaggingRegressor,4,3,3.898670196533203
BaggingRegressor,5,1,5.437645196914673
BaggingRegressor,5,2,4.96337628364563
BaggingRegressor,5,3,4.090919256210327
BaggingRegressor,6,1,6.506685256958008
BaggingRegressor,6,2,6.422610521316528
BaggingRegressor,6,3,5.476936101913452
BaggingRegressor,7,1,4.788881540298462
BaggingRegressor,7,2,4.675059080123901
BaggingRegressor,7,3,5.887123346328735
BaggingRegressor,8,1,5.101330041885376
BaggingRegressor,8,2,7.220066070556641
BaggingRegressor,8,3,4.904139280319214
NumPy + joblib,1,1,1.013613224029541
NumPy + joblib,1,2,2.244114398956299
NumPy + joblib,1,3,1.3384716510772705
NumPy + joblib,2,1,1.3768823146820068
NumPy + joblib,2,2,1.64835786819458
NumPy + joblib,2,3,1.2706093788146973
NumPy + joblib,3,1,0.8591241836547852
NumPy + joblib,3,2,1.2645442485809326
NumPy + joblib,3,3,1.0614941120147705
NumPy + joblib,4,1,1.1551337242126465
NumPy + joblib,4,2,1.1619386672973633
NumPy + joblib,4,3,0.758056640625
NumPy + joblib,5,1,0.7074089050292969
NumPy + joblib,5,2,1.24855637550354
NumPy + joblib,5,3,1.073653221130371
NumPy + joblib,6,1,0.7787973880767822
NumPy + joblib,6,2,1.1470043659210205
NumPy + joblib,6,3,0.9227221012115479
NumPy + joblib,7,1,0.9782166481018066
NumPy + joblib,7,2,0.7976768016815186
NumPy + joblib,7,3,0.8117454051971436
NumPy + joblib,8,1,1.043745756149292
NumPy + joblib,8,2,1.1258060932159424
NumPy + joblib,8,3,1.4288873672485352
sklearn + joblib,1,1,9.022297143936157
sklearn + joblib,1,2,7.776257276535034
sklearn + joblib,1,3,8.52399206161499
sklearn + joblib,2,1,6.199195623397827
sklearn + joblib,2,2,6.066905736923218
sklearn + joblib,2,3,9.984393835067749
sklearn + joblib,3,1,5.286412715911865
sklearn + joblib,3,2,5.985620021820068
sklearn + joblib,3,3,4.608912944793701
sklearn + joblib,4,1,5.510639190673828
sklearn + joblib,4,2,5.778251647949219
sklearn + joblib,4,3,4.5251665115356445
sklearn + joblib,5,1,4.752610921859741
sklearn + joblib,5,2,5.507066249847412
sklearn + joblib,5,3,4.4902544021606445
sklearn + joblib,6,1,5.606927394866943
sklearn + joblib,6,2,4.179101943969727
sklearn + joblib,6,3,5.250445127487183
sklearn + joblib,7,1,4.485731840133667
sklearn + joblib,7,2,6.294942855834961
sklearn + joblib,7,3,6.881031274795532
sklearn + joblib,8,1,4.424937009811401
sklearn + joblib,8,2,6.409980773925781
sklearn + joblib,8,3,6.216322898864746
